Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-09-28,227.95,229.3,227.43,,228.78,2100300,
2018-09-27,228.78,229.24,228.61,,229.06,935540,
2018-09-26,229.07,229.34,228.63,,228.79,677901,
2018-09-25,228.77,229.42,228.66,,229.1045,769602,
2018-09-24,229.1,229.15,228.473,,228.5,536338,
2018-09-21,228.48,229.01,228.46,,228.9639,457266,
2018-09-19,228.9625,229,228.76,,228.81,355076,
2018-09-18,228.81,228.83,228.48,,228.705,377812,
2018-09-17,228.69,229,228.62,,228.87,381524,
2018-09-14,228.88,228.88,228.13,,228.14,509334,
2018-09-12,228.15,228.59,228.1488,,228.52,378571,
2018-09-11,228.53,228.82,228.44,,228.57,267722,
2018-09-10,228.58,228.8,228.49,,228.76,300393,
2018-09-07,228.77,228.99,228.76,,228.87,267446,
2018-09-06,228.87,228.8871,228.46,,228.88,345839,
2018-09-05,228.885,228.885,228.57,,228.63,238599,
2018-09-04,228.64,228.65,228.45,,228.49,205303,
2018-09-03,228.4923,228.51,227.92,,227.9699,419710,
2018-08-31,227.97,228.1,227.78,,228.05,298572,
2018-08-30,228.074,228.1426,227.6646,,227.745,321436,
2018-08-29,227.755,227.86,227.55,,227.5775,232707,
2018-08-28,227.58,227.69,227.41,,227.61,368317,
2018-08-27,227.61,227.93,227.58,,227.91,274964,
2018-08-24,227.92,228.01,227.79,,227.9001,257859,
2018-08-23,227.91,227.95,227.7634,,227.89,180786,
2018-08-21,227.87,227.957,227.81,,227.87,167647,
2018-08-20,227.87,227.95,227.59,,227.74,218921,
2018-08-17,227.74,227.77,227.18,,227.2756,332887,
2018-08-16,227.28,227.48,227.19,,227.45,212764,
2018-08-14,227.459,227.59,227.29,,227.34,198699,
2018-08-13,227.341,227.3529,226.73,,226.99,491638,
2018-08-10,226.99,227.15,226.83,,226.96,261219,
2018-08-09,226.964,227.1915,226.84,,227.1402,256876,
2018-08-08,227.16,227.27,227.1,,227.16,225888,
2018-08-07,227.16,227.33,226.96,,227.22,225134,
2018-08-06,227.21,227.3,226.62,,226.8,362271,
2018-08-03,226.79,226.83,226.35,,226.61,446612,
2018-08-02,226.62,226.97,226.54,,226.905,423021,
2018-08-01,226.89,227.46,226.68,,227.27,1027081,
2018-07-31,227.26,227.26,227.26,,227.26,1099129,
2018-07-30,227.25,228.2,226.688,,227.21,1261640,
2018-07-27,227.2237,228.45,226.63,,228.2314,870056,
2018-07-26,228.23,229.34,228.1943,,229.23,1118323,
2018-07-25,229.24,229.43,228.83,,228.84,721036,
2018-07-24,228.8538,228.9599,228.56,,228.68,532159,
2018-07-23,228.7,229.28,228.57,,229.1861,521169,
2018-07-20,229.18,229.39,228.85,,228.93,512219,
2018-07-19,228.93,229.07,228.32,,228.9738,459624,
2018-07-18,228.99,229.35,228.99,,229.14,444697,
2018-07-17,229.14,229.18,228.72,,229.01,402278,
2018-07-16,229.03,229.1,228.82,,228.84,226291,
2018-07-13,228.827,229.3596,228.82,,229.2422,455211,
2018-07-12,229.25,229.56,229.22,,229.3,658705,
2018-07-11,229.28,229.67,229.13,,229.6679,464175,
2018-07-10,229.66,229.85,229.41,,229.8101,504132,
2018-07-09,229.81,229.88,229.63,,229.71,369942,
2018-07-06,229.7048,229.73,229.34,,229.495,304032,
2018-07-05,229.49,229.81,229.4899,,229.74,235287,
2018-07-04,229.75,230,229.72,,229.93,332400,
2018-07-03,229.9284,230,229.38,,229.4,385619,
2018-07-02,229.3928,229.3928,229.03,,229.2,432500,
2018-06-29,229.21,229.38,229.19,,229.3,217226,
2018-06-28,229.2893,229.31,229.0167,,229.178,257264,
2018-06-27,229.18,229.44,229.15,,229.395,178593,
2018-06-26,229.41,229.6664,229.34,,229.66,254155,
2018-06-25,229.6649,229.84,229.6,,229.77,235122,
2018-06-22,229.7762,229.84,229.38,,229.53,273908,
2018-06-21,229.5236,229.815,229.4425,,229.81,238936,
2018-06-20,229.814,229.87,229.6,,229.7232,223497,
2018-06-19,229.72,230,229.72,,229.8664,381179,
2018-06-18,229.865,229.895,229.47,,229.63,363475,
2018-06-15,229.64,229.73,229.35,,229.57,302494,
2018-06-14,229.56,229.61,229.37,,229.585,239046,
2018-06-13,229.585,229.59,228.69,,228.9665,735387,
2018-06-12,228.96,229.1,228.27,,228.28,541021,
2018-06-11,228.288,228.7393,227.92,,228.66,665517,
2018-06-08,228.67,229.1932,228.67,,229.03,506868,
2018-06-07,229.04,229.7,229.03,,229.59,553479,
2018-06-06,229.59,229.74,229.28,,229.29,972591,
2018-06-05,229.28,229.29,229.28,,229.28,1346878,
2018-06-04,230.05,231.67,229.78,,231.36,2059744,
2018-06-01,231.35,231.95,230.98,,231.8,1057074,
2018-05-31,231.8,232.33,231.73,,231.885,961729,
2018-05-30,231.9,232.96,231.83,,232.91,1336932,
2018-05-29,232.91,233.47,232.44,,233.0953,1136787,
2018-05-28,233.09,233.28,232.7501,,232.83,638753,
2018-05-25,232.84,233.12,232.57,,232.74,721687,
2018-05-24,232.73,232.83,232.31,,232.52,654806,
2018-05-23,232.529,232.58,232.23,,232.53,629716,
2018-05-22,232.53,232.58,232.08,,232.52,681686,
2018-05-21,232.54,233.08,232.3602,,232.92,706384,
2018-05-18,232.92,233.3,232.85,,233.08,560190,
2018-05-17,233.0601,233.139,232.28,,232.34,602844,
2018-05-16,232.34,232.43,231.75,,232.22,856311,
2018-05-15,232.2297,232.74,232.229,,232.73,508909,
2018-05-14,232.74,232.84,232.35,,232.39,304459,
2018-05-11,232.3987,232.68,232.36,,232.56,281288,
2018-05-10,232.5573,232.81,232.552,,232.6,247962,
2018-05-09,232.605,232.61,232.2,,232.24,269450,
2018-05-08,232.25,232.4599,232.05,,232.4,285316,
2018-05-07,232.42,232.69,232.2891,,232.69,251332,
2018-05-04,232.68,232.94,232.66,,232.78,259699,
2018-05-03,232.76,232.89,232.65,,232.73,211003,
2018-05-02,232.73,232.8,232.49,,232.6884,172554,
2018-04-30,232.6945,232.8895,232.65,,232.7699,199524,
2018-04-27,232.79,232.8,232.48,,232.6301,198123,
2018-04-26,232.64,232.74,232.49,,232.51,188704,
2018-04-25,232.51,232.88,232.43,,232.8501,219726,
2018-04-24,232.85,232.8522,232.54,,232.6385,216388,
2018-04-23,232.63,232.68,232.43,,232.5,198975,
2018-04-20,232.5,232.53,231.76,,232.15,593638,
2018-04-19,232.12,232.4325,231.88,,232.13,460678,
2018-04-18,232.13,232.57,231.92,,232.39,523086,
2018-04-17,232.3897,232.55,231.96,,232.3299,391489,
2018-04-16,232.32,232.38,232.0266,,232.17,402828,
2018-04-13,232.17,232.41,231.571,,231.8901,674136,
2018-04-12,231.8902,232.1506,231.76,,231.86,453335,
2018-04-11,231.84,232.14,231.8,,231.96,459543,
2018-04-10,231.96,232.18,231.92,,232.1,1006479,
2018-04-09,232.07,232.07,232.07,,232.07,1392823,
2018-04-06,230.78,232.35,230.26,,230.705,2070522,
2018-04-05,230.715,230.728,229.07,,229.77,1821172,
2018-04-04,229.75,230.42,229.57,,229.93,926502,
2018-04-03,229.91,230.22,229.37,,230.18,762565,
2018-04-02,230.19,230.33,229.77,,229.95,628297,
2018-03-28,229.9505,230.09,229.34,,229.7832,696846,
2018-03-27,229.78,229.97,229.37,,229.9216,557021,
2018-03-26,229.92,229.9699,229.19,,229.19,591460,
